": Zillow is offloading homes — raising ‘red flags’ about the real-estate market","MarketWatch","Zillow 'may have leaned into home acquisition at the wrong time,' one analyst said.   ","2021-11-01 20:49:00","Business","https://www.marketwatch.com/story/zillow-pauses-home-buying-raising-red-flags-about-the-real-estate-market-11634678311?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","29365102093cb9074b08a880facbf508"
"Washington Watch: Biden to push tougher EPA stance on methane as part of effort to cut these potent emissions 30% by 2030","MarketWatch","The Biden administration is advancing plans to cut methane emissions sharply by the end of the decade, using tougher proposed Environmental Protection Agency regulations and other efforts to hit the mark, it said Tuesday, in a move that will frustrate an oil and gas industry that says it's been cleaning up its act without a government push.   ","2021-11-02 04:00:00","Business","https://www.marketwatch.com/story/biden-to-push-tougher-epa-stance-on-methane-as-part-of-effort-to-cut-these-potent-emissions-30-by-2030-11635829254?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","8a31e0346a2c034d8b22512e14939d79"
"Financial Crime: Long Island man used Aspirin wonder-drug scam to bilk investors out of $3.5 million to pay for a divorce and a toy car business","MarketWatch","Donald Milne promised his fast-acting aspirin could stop heart attacks, but he used the cash to pay for trips, a divorce and a Long Island toy car track, prosecutors say.   ","2021-11-02 03:43:00","Business","https://www.marketwatch.com/story/long-island-man-used-aspirin-wonder-drug-scam-to-bilk-investors-out-of-3-5-million-to-pay-for-a-divorce-and-a-toy-car-business-11635813675?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","fbf24491bee09e6ac2c34e2f7c15aabf"
"The Moneyist: I’m 29. I have $1,000 in my checking account, $3,000 in savings and a $20,000 emergency fund. Am I doing OK financially?","MarketWatch","'Should I just move my $20,000 emergency fund to a high yield savings account?'   ","2021-11-02 03:35:00","Business","https://www.marketwatch.com/story/im-29-i-have-1-000-in-my-checking-account-3-000-in-savings-and-a-20-000-emergency-fund-am-i-doing-ok-financially-11635820476?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","7217ef9b933636e65b2d30b77b294e40"
"Dow Jones Newswires: RBA keeps rates unchanged, but signals hike could come sooner than thought","MarketWatch","The Reserve Bank of Australia said it would stop using yield caps and signaled an earlier start to interest rate rises, joining other central banks that are tightening policy as inflation risks mount.   ","2021-11-02 02:47:00","Business","https://www.marketwatch.com/story/rba-to-abandon-yield-caps-as-it-signals-earlier-rate-rises-271635824834?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","727833d6454339bee1d43b07c3d4f104"
"The Wall Street Journal: Opioid makers cleared of liability in California lawsuit","MarketWatch","A California judge cleared four drug makers of liability after a monthslong trial accusing the companies, including Johnson & Johnson and Endo International PLC, of causing widespread opioid addiction in the state.   ","2021-11-02 02:40:00","Business","https://www.marketwatch.com/story/opioid-makers-cleared-of-liability-in-california-lawsuit-11635824434?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","7eba276ae62cc715e47f19942f9a5813"
"The Wall Street Journal: DuPont planning deals that would remake the chemicals company","MarketWatch","DuPont de Nemours Inc. is planning deals that would remake the famed chemicals company, according to people familiar with the matter, following years of subpar performance in its shares.   ","2021-11-02 00:40:00","Business","https://www.marketwatch.com/story/dupont-planning-deals-that-would-remake-the-chemicals-company-11635814446?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","a8d99e07aabc91045f5c09eed43eb194"
"Crypto: Aaron Rodgers teams with Square in $1 million bitcoin giveaway promotion","MarketWatch","Green Bay Packers quarterback Aaron Rodgers will collect part of his salary in bitcoin, and will give away $1 million in bitcoin as part of a promotion with Square Inc.'s Cash App.   ","2021-11-02 00:39:00","Business","https://www.marketwatch.com/story/aaron-rodgers-teams-with-square-in-1-million-bitcoin-giveaway-promotion-11635817152?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","543eafe192d384ba13a92403c73b341e"
": Clean-energy jobs split nearly equally between Republican, Democratic districts — this shows where the most jobs are","MarketWatch","The nation's more than 3 million clean-energy jobs are nearly evenly split across Republican and Democratic congressional districts, new research out Monday shows.   ","2021-11-01 23:14:00","Business","https://www.marketwatch.com/story/clean-energy-jobs-split-nearly-equally-between-republican-democratic-districts-this-shows-where-the-most-jobs-are-11635812088?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","5389b7d4719b3cad303ded083651a859"
"Dow Jones Newswires: Nevro to pay Boston Scientific $20 million in patent infringement case","MarketWatch","Nevro Corp. is expected to pay $20 million to Boston Scientific Corp. after a Delaware jury found that the medical device company had infringed on two Boston Scientific patents related to the manufacturing of a spinal cord stimulation technology, the company said late Monday.   ","2021-11-01 23:04:00","Business","https://www.marketwatch.com/story/nevro-to-pay-boston-scientific-20-million-in-patent-infringement-case-update-271635811492?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","40d43f0501f08be39e23b1288b239ea8"
"Next Avenue: Many employers are offering new and better benefits—how to choose the right ones for next year","MarketWatch","It's open enrollment season. While you may see rising out-of-pocket health costs through your employer coverage, you may be in for a few pleasant surprises, too.   ","2021-11-02 07:58:00","Business","https://www.marketwatch.com/story/many-employers-are-offering-new-and-better-benefitshow-to-choose-the-right-ones-for-next-year-11635454682?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","b3501016236b1a0d858217307141d9a6"
": Musk says Hertz deal isn’t signed — and questions Tesla rally after the announcement","MarketWatch","A deal for Hertz to buy 100,000 Tesla vehicles isn't signed yet, CEO Elon Musk tweeted as he questioned the stock-market rally that has ensued.   ","2021-11-02 07:51:00","Business","https://www.marketwatch.com/story/musk-says-hertz-deal-isnt-signed-and-questions-tesla-rally-after-the-announcement-11635843116?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","9c31fdc6e0a82097416d8c918f10b904"
"The Moneyist: ‘My family sided with my ex-husband’: I took care of my abusive father for 2 decades. He left me out of his will. Can I contest it?","MarketWatch","‘I believe my ex-husband influenced my father to write me out of his will. He's a narcissist and has turned everyone against me.’   ","2021-11-02 07:20:00","Business","https://www.marketwatch.com/story/my-family-sided-with-my-ex-husband-i-took-care-of-my-abusive-father-for-2-decades-he-left-me-out-of-his-will-can-i-contest-it-11635823146?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","364824a003e1a8416ee83acea6b38646"
": A big tax on a Big Mac? Some say it’s time to consider meat taxes to reduce beef consumption and help the environment","MarketWatch","Concerns about the climate crisis are fueling the meat-tax debate, especially in connection with the Glasgow COP26 environmental summit   ","2021-11-02 08:53:00","Business","https://www.marketwatch.com/story/a-big-tax-on-a-big-mac-some-say-its-time-to-consider-meat-taxes-to-reduce-beef-consumption-and-help-the-environment-11635801472?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","8b5a281aaf71a188c24e50fdf7f5da0d"
"Market Snapshot: U.S. stock futures pause at record highs as Fed decision looms","MarketWatch","U.S stock futures were perched lower as traders took a breather while waiting for the latest Federal Reserve monetary policy decision.   ","2021-11-02 08:29:00","Business","https://www.marketwatch.com/story/u-s-stock-futures-pause-at-record-highs-as-fed-decision-looms-11635845377?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","ad3b599131b0bcca65d942b4f638c262"
"Kelley Blue Book: Luxury sedans compared: The 2021 Genesis G90 vs. the Maserati Quattroporte","MarketWatch","The Genesis G90 offers great value and a smooth ride, while the 2021 Maserati Quattroporte gives you a choice of engines including a twin-turbo V8.   ","2021-11-02 08:05:00","Business","https://www.marketwatch.com/story/luxury-sedans-compared-the-2021-genesis-g90-vs-the-maserati-quattroporte-11635363699?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","c1f19d17c5822d5a6466be059cf6136d"
"NerdWallet: Don’t get fleeced in this auto market: 5 mistakes to avoid if you’re buying a car now","MarketWatch","Sellers have the upper hand. Postponing your purchase may be the best option, but if you must buy a car now, remember these tips.   ","2021-11-02 08:04:00","Business","https://www.marketwatch.com/story/dont-get-fleeced-in-this-auto-market-5-mistakes-to-avoid-if-youre-buying-a-car-now-11635529837?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","524c7c00ed69b24d13dbd4631a2ffbf0"
"NerdWallet: Why you need a plan B for your holiday travel","MarketWatch","There's already been plenty of travel fiascos this year. As you book 2021 holiday travel, have a backup plan. Here's what that may mean.   ","2021-11-02 08:02:00","Business","https://www.marketwatch.com/story/why-you-need-a-plan-b-for-your-holiday-travel-11635528591?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","6cfac5b67003b678f9c1bc112f05dfc6"
"Bond Report: Treasury yields pull back ahead of Fed meeting kickoff","MarketWatch","Treasury yields pull back Tuesday, a day after the rate on the 2-year note ended at a 19-month high, ahead of the start of a pivotal, two-day Federal Reserve meeting that's expected to see policy makers unveil their plan to wind down monthly asset purchases.   ","2021-11-02 09:58:00","Business","https://www.marketwatch.com/story/treasury-yields-pull-back-ahead-of-fed-meeting-kickoff-11635850705?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","acde9e5d561b1c9848438337e32b7a14"
"Retirement Hacks: A simple checklist to get your wishes met later in life","MarketWatch","Individuals mistaken their age and parental status for the reasons they shouldn’t write a will   ","2021-11-02 09:30:00","Business","https://www.marketwatch.com/story/a-simple-checklist-to-get-your-wishes-met-later-in-life-11635829254?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","52d64a331bfdbf595fe73d1b12285bee"
"Coronavirus Update: Global death toll from COVID-19 tops 5 million, as parents in the U.S. await next moves on vaccines for children","MarketWatch","The coronavirus pandemic hit a grim milestone on Monday of 5 million confirmed deaths globally, according to data aggregated by Johns Hopkins University, and experts, including the World Health Organization, estimate the true toll may be up to three times higher.   ","2021-11-02 09:24:00","Business","https://www.marketwatch.com/story/global-death-toll-from-covid-19-tops-5-million-as-parents-in-the-u-s-await-next-moves-on-vaccines-for-children-11635777610?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","d351bb7a57fa7d07bea06340c5a541d4"
"IPO Report: U.S. IPO market bracing for 13-deal week that includes eco-friendly shoe company Allbirds and personal finance site NerdWallet","MarketWatch","The U.S. initial public offering is bracing for another week of double-digit deal flow with 13 companies expected to come to market to raise at least $2.7 billion.   ","2021-11-02 09:21:00","Business","https://www.marketwatch.com/story/u-s-ipo-market-bracing-for-13-deal-week-that-includes-eco-friendly-shoe-company-allbirds-and-personal-finance-site-nerdwallet-11635794017?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","444680a71783253b344d2f3c95a5279e"
": Sales of Gilead’s COVID-19 drug jumped in conjunction with the surge in delta cases this summer","MarketWatch","Gilead Sciences Inc. said sales of its COVID-19 treatment Veklury soared during the third quarter, driven by the need to treat people hospitalized with COVID-19 during this summer’s surge in the U.S.   ","2021-11-02 10:55:00","Business","https://www.marketwatch.com/story/sales-of-gileads-covid-19-drug-jumped-in-conjunction-with-the-surge-in-delta-cases-this-summer-11635521301?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","988246bceb1701d06e8db927077c4900"
"Metals Stocks: Gold edges lower as traders await Fed meeting","MarketWatch","Gold futures tick lower Tuesday as the Federal Reserve prepares to begin a two-day meeting that's expected to see policy makers lay out plans to begin tapering monthly asset purchases.   ","2021-11-02 10:55:00","Business","https://www.marketwatch.com/story/gold-edges-lower-as-traders-await-fed-meeting-11635854125?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","fd2ed9d0d35049488bdcad3f660c37ad"
"Earnings Results: Avis stock rallies after Q3 profit hits record, sales top $3 billion","MarketWatch","Shares of Avis Budget Group Inc. rose more than 5% late Monday after the car-rental company's quarterly profit hit a record and sales topped $3 billion as high demand for rental cars in the summer months continued to push prices higher.   ","2021-11-02 10:55:00","Business","https://www.marketwatch.com/story/avis-stock-rallies-after-q3-profit-hits-record-sales-top-3-billion-11635799305?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","1e774aaf4a743e563fedb8e4dda1d3ad"
"Financial Crime: Long Island man used aspirin wonder-drug scam to bilk investors out of $3.5 million to pay for a divorce and a toy-car business","MarketWatch","Donald Milne promised his fast-acting aspirin could stop heart attacks, but he used the cash to pay for trips, a divorce and a Long Island toy car track, prosecutors say.   ","2021-11-02 10:54:00","Business","https://www.marketwatch.com/story/long-island-man-used-aspirin-wonder-drug-scam-to-bilk-investors-out-of-3-5-million-to-pay-for-a-divorce-and-a-toy-car-business-11635813675?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","f792e11383b7bcb99a8d59a9ccdeffe6"
": What to expect from Tuesday’s CDC meeting about BioNTech and Pfizer’s COVID-19 shots for young children","MarketWatch","The U.S. is preparing to roll out BioNTech and Pfizer's COVID-19 vaccine to children between the ages of 5 and 11 later this week.   ","2021-11-02 10:53:00","Business","https://www.marketwatch.com/story/what-to-expect-this-week-as-the-u-s-prepares-to-offer-biontech-and-pfizers-covid-19-shots-to-young-children-11635788498?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","b1afa7ccb2d29d54225849796cf92b2e"
"Futures Movers: Oil edges lower as traders await OPEC+ decision","MarketWatch","Oil futures tick lower Tuesday, with traders awaiting a meeting of OPEC+ members later this week amid rising pressure to boost output more than planned.   ","2021-11-02 10:37:00","Business","https://www.marketwatch.com/story/oil-edges-lower-as-traders-await-opec-decision-11635853040?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","c0e8ba13c1f694334adec18511b4d1e9"
"Need to Know: Here are the five dumbest ways you could have gotten rich in 2021","MarketWatch","Our call of the day from blogger Jack Raines shows us the five ways we all could have gotten rich this year. But don't think this is a walk in the park.   ","2021-11-02 10:18:00","Business","https://www.marketwatch.com/story/here-are-the-five-dumbest-ways-you-could-have-gotten-rich-in-2021-11635851930?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","f57d73899447833f8594fcaa6866c37f"
"NewsWatch: Here are the five dumbest ways you could have gotten rich in 2021","MarketWatch","Our call of the day from blogger Jack Raines shows us the five ways we all could have gotten rich this year. But don't think this is a walk in the park.   ","2021-11-02 12:00:09","Business","https://www.marketwatch.com/latest-news","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","cd120ee70c0df36e7798a13ee8832088"
"Key Words: ‘Behind the eight ball’: Biden apologizes to world powers for Trump’s split from Paris climate pact","MarketWatch","President Joe Biden apologized to other world leaders on Monday for the Trump administration's decision to exit the Paris climate agreement, the only major global economic power to withdraw in such a fashion.   ","2021-11-02 11:52:00","Business","https://www.marketwatch.com/story/behind-the-eight-ball-biden-apologies-to-world-powers-for-trumps-split-from-paris-climate-pact-11635804585?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","d438c86a2b0c93dbc294c705620f30ac"
"Washington Watch: Biden is attacking methane  by several means after groups say it’s the surest way to keep to 1.5 degrees warming","MarketWatch","The Biden administration is advancing plans to cut methane emissions sharply by the end of the decade, using tougher proposed Environmental Protection Agency regulations and other efforts to hit the mark, it said Tuesday, in a move that will frustrate an oil and gas industry that says it's been cleaning up its act without a government push.   ","2021-11-02 11:45:00","Business","https://www.marketwatch.com/story/biden-to-push-tougher-epa-stance-on-methane-as-part-of-effort-to-cut-these-potent-emissions-30-by-2030-11635829254?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","881eb956aea8a5cd2abe815399bc86cd"
"Project Syndicate: Broken supply chains are a market failure. What’s the right way to restore resilience?","MarketWatch","When the immediate supply concerns abate, firms and policy makers must consider what kind of insurance or slack they should build into the production system over the longer term.   ","2021-11-02 11:41:00","Business","https://www.marketwatch.com/story/broken-supply-chains-are-a-market-failure-whats-the-right-way-to-restore-resilience-11634744580?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","26ca6e27cf4e32026c058083a674f137"
"The Ratings Game: Skechers is still heading toward $10 billion in revenue despite supply chain problems","MarketWatch","Skechers reported an earnings and sales miss for the third quarter and issued a full-year profit warning, but analysts are still upbeat about the company's long-term prospects   ","2021-11-02 11:34:00","Business","https://www.marketwatch.com/story/skechers-is-still-heading-toward-10-billion-in-revenue-despite-supply-chain-problems-11635786148?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","191a281cff27ebdb16d8c4f0bf7b1ff5"
"Washington Watch: Virginia governor’s race could give ‘flashing red warning sign’ for Democrats — and shift market sentiment","MarketWatch","The governor's race in the Democratic-leaning state of Virginia is drawing considerable attention this fall, with analysts connecting the contest to President Joe Biden's spending plans and next year's U.S. midterm elections.   ","2021-11-02 11:34:00","Business","https://www.marketwatch.com/story/virginia-governors-race-could-give-flashing-red-warning-sign-for-democrats-and-shift-market-sentiment-11634827666?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","afb7d2183dc5201fcabfd047c0da59dc"
": These healthcare stocks are winners in Biden’s social-spending plan, analyst says","MarketWatch","President Joe Biden's social-spending package still faces a long road to becoming reality, but analysts are flagging some winners in his $1.75 trillion plan.   ","2021-11-02 13:00:00","Business","https://www.marketwatch.com/story/these-healthcare-stocks-are-winners-in-bidens-social-spending-plan-analyst-says-11635524530?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","687b428b9b0f26ce0dfb730fe9ebbc68"
"The Margin: Oprah’s Favorite Things List 2021 just dropped on Amazon — here are her picks for tech and self care","MarketWatch","Oprah Winfrey's biggest holiday gift guide yet highlights small businesses and brands owned by women and people of color   ","2021-11-02 12:53:00","Business","https://www.marketwatch.com/story/oprahs-favorite-things-list-2021-just-dropped-on-amazon-here-are-her-picks-for-tech-and-self-care-11635780683?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","6f03c9637b76d9689e0dcc81849903dc"
"Deep Dive: These are the four solar stocks to own for the long run","MarketWatch","Sunrun and Enphase Energy are among solar companies expected to grow sales at high double-digit rates through 2025. They are favored by Andrew Wetzel of F.L.Putnam Investment Management Co.   ","2021-11-02 12:48:00","Business","https://www.marketwatch.com/story/these-are-the-four-solar-stocks-to-own-for-the-long-run-11635860914?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","d471d6547bfe5398c0d50d0c5c85f5c7"
"Market Snapshot: U.S stocks edge higher, building on record highs, as Federal Reserve begins  pivotal two-day policy meeting","MarketWatch","U.S stocks edged higher Tuesday, with the benchmarks building on the previous session's record close as the Federal Reserve prepares to begin a pivotal two-day policy meeting.   ","2021-11-02 12:47:00","Business","https://www.marketwatch.com/story/u-s-stock-futures-pause-at-record-highs-as-fed-decision-looms-11635845377?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","cf927f57c1f43eff02706806e041539b"
"Washington Watch: Biden will attack methane by several means after groups say that’s the surest way to keep to 1.5 degrees warming","MarketWatch","The Biden administration is advancing plans to cut methane emissions sharply by the end of the decade, using tougher proposed Environmental Protection Agency regulations and other efforts to hit the mark, it said Tuesday, in a move that will frustrate an oil and gas industry that says it's been cleaning up its act without a government push.   ","2021-11-02 12:37:00","Business","https://www.marketwatch.com/story/biden-to-push-tougher-epa-stance-on-methane-as-part-of-effort-to-cut-these-potent-emissions-30-by-2030-11635829254?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","aa6ba12b7b644e95cb3bd87b38ace7f4"
"Financial Crime: ‘Bills were tight’: Husband-and-wife real estate broker team charged with stealing $300K in commission scam","MarketWatch","Prosecutors say the Virginia brokers falsified sales over three years to collect commission advances.   ","2021-11-02 12:36:00","Business","https://www.marketwatch.com/story/bills-were-tight-husband-and-wife-real-estate-broker-team-charged-with-stealing-300k-in-commission-scam-11635456884?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","d7a34772cc8669a797dd4eeb749955a4"
": Biden’s $80 billion proposal to fund IRS is ‘dramatically in excess of what the IRS needs,’ says former acting commissioner under Trump","MarketWatch","The comment comes as a pivotal Democrat said he would not back a bill to strengthen the social safety until he knew about its economic impact   ","2021-11-02 12:35:00","Business","https://www.marketwatch.com/story/bidens-80b-proposal-to-fund-the-irs-is-dramatically-in-excess-of-what-the-irs-needs-says-former-irs-commissioner-11635804133?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","161eb805102ece6735bb0c20d81dc6d4"
